,Progress,Finished,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,X18yo,consentq,Pew.respondent.1,Pew.respondent.2,Pew.respondent.3,Pew.respondent.4,Pew.respondent.5,Pew.respondent.6,Pew.respondent.7,Pew.respondent.8,Pew.respondent.9,Pew.respondent.10,forma1,forma2,forma3,pcomf,ideologyp,pew1,pew2,pew3,pew4,pew5,pew6,pew7,pew8,pew9,pew10,paqmatrix_1,paqmatrix_2,paqmatrix_3,paqmatrix_4,paqmatrix_5,paqmatrix_6,paqmatrix_7,paqmatrix_8,paqmatrix_9,paqmatrix_10,paqmatrix_11,paqmatrix_12,paqmatrix_13,paqmatrix_14,paqmatrix_15,paqmatrix_16,paqmatrix_17,paqmatrix_18,paqmatrix_19,paqmatrix_20,respondentscore,respondentideo,parentscore,parentideo,parentgenideo,respondentgenideo,parentpermscore,parentauthnscore,parentauthvscore,parentpermavg,parentauthnavg,parentauthvavg,parentingstyle
13,100,1,44.97639465,-93.22399902,anonymous,EN,1,1,0,-1,0,1,0,0,0,0,-1,-1,1,2,4,1,0,1,-1,1,-1,1,1,1,-1,-1,1,3,4,1,1,5,3,1,2,5,0,0,5,0,5,3,3,1,1,1,1,-2,Slightly Liberal,2,Slightly Conservative,Conservative,Liberal,18,17,10,18,17,10,1
14,100,1,44.97639465,-93.22399902,anonymous,EN,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,5,1,0,-1,1,1,1,-1,-1,-1,1,-1,-1,2,3,4,2,3,2,2,3,4,3,3,4,4,2,2,2,2,2,2,2,-8,Strongly Liberal,-2,Slightly Liberal,Liberal,Liberal,18,23,12,18,23,12,2
15,100,1,44.83059692,-92.93930054,anonymous,EN,1,1,1,-1,-1,1,-1,-1,1,1,1,-1,4,1,5,1,0,-1,-1,-1,1,0,-1,0,-1,1,-1,2,2,2,2,4,1,4,0,4,2,3,3,3,4,3,1,2,1,2,1,0,Moderate,-4,Slightly Liberal,Liberal,Moderate,17,19,10,17,19,10,2
16,100,1,45.38560486,-92.84860229,anonymous,EN,1,1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,2,1,3,1,0,1,1,1,1,1,1,1,0,1,0,2,2,4,4,3,1,1,0,5,2,5,4,1,4,3,1,3,1,4,2,-9,Strongly Liberal,8,Strongly Conservative,Conservative,Liberal,17,21,14,17,21,14,2
17,100,1,44.97639465,-93.22399902,anonymous,EN,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,5,3,3,2,5,0,0,0,0,0,0,0,0,0,0,1,1,2,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,-6,Moderately Liberal,5,Slightly Liberal,Conservative,Liberal,15,21,18,15,21,18,2
18,100,1,44.94020081,-93.21880341,anonymous,EN,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,2,5,1,0,1,-1,-1,-1,-1,-1,1,0,-1,-1,3,4,2,2,2,2,3,2,0,4,2,0,2,2,4,2,5,2,2,3,-8,Strongly Liberal,-5,Moderately Liberal,Liberal,Liberal,18,12,18,18,12,18,3
19,100,1,44.97639465,-93.22399902,anonymous,EN,1,1,0,-1,-1,0,-1,-1,-1,-1,-1,-1,1,1,5,1,0,-1,-1,0,0,-1,-1,-1,0,-1,-1,2,3,4,2,4,2,2,3,5,2,3,3,4,3,3,3,2,3,3,3,-8,Strongly Liberal,-7,Moderately Liberal,Liberal,Liberal,19,23,17,19,23,17,2
20,100,1,44.97639465,-93.22399902,anonymous,EN,1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,3,5,1,0,-1,-1,-1,0,-1,-1,-1,-1,0,-1,3,2,3,4,4,5,4,2,2,2,2,2,3,2,4,2,1,3,2,2,-8,Strongly Liberal,-8,Strongly Liberal,Liberal,Liberal,25,15,14,25,15,14,1
21,100,1,45.01960754,-93.24019623,anonymous,EN,1,1,1,-1,-1,0,0,-1,-1,0,-1,-1,1,2,3,1,0,-1,-1,-1,1,1,1,-1,1,1,1,2,2,3,4,3,2,2,4,5,4,5,5,5,3,1,1,1,1,1,1,-5,Moderately Liberal,2,Slightly Conservative,Conservative,Liberal,18,31,6,18,31,6,2
22,100,1,44.97639465,-93.22399902,anonymous,EN,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,5,1,0,-1,-1,-1,-1,-1,-1,0,0,-1,-1,3,4,4,5,4,3,2,3,4,3,3,3,4,2,2,2,1,2,1,2,-10,Strongly Liberal,-8,Strongly Liberal,Liberal,Liberal,25,22,10,25,22,10,1
